label,id,acronym,type,ethn_relig,sponsor_quatar,sponsor_saudi,sponsor_turkey,sponsor_US,sponsor_jordan,sponsor_russia,sponsor_iran,sponsor_EU,rename_as,noidea
JTS: Syrian Revolutionaries Front,,SRF,Rebel Groups,0,,1,1,,,,,,,0
QSS: Youth of Sunna Forces,,QSS,Rebel Groups,0,,,,1,,,,,,0
JTR: Front of Raqqa Revolutionaries,,JTR,Rebel Groups,0,,,,,,,,,,0
JMT: Army of the Commandos of the Revolution,,JMT,Rebel Groups,0,,,,1,1,,,1,,0
Army of Mujahideen,,JM,Rebel Groups,1,,,,1,,,,,,0
Abu Amara Brigade,,AAB,Rebel Groups,1,,,,,,,,,,0
1st Coastal Division,,1CD,Rebel Groups,0,1,,,1,,,,,,0
Southern Front,,SF,Rebel Groups,0,,1,,1,1,,,,,0
Al Wosta Division,29,,Rebel Groups,1,1,1,1,,,,,,,1
PYD: Kurdish Democratic Union Party,29,,Rebel Groups,1,1,1,1,,,,,,YPG: Peoples Protection Units,0
Muntasr Billah Battalion,,MBL,Rebel Groups,0,,,1,1,,,,,,0
Sham Legion,29,,Rebel Groups,1,1,1,1,,,,,,Al Sham Corps,0
Liwa Sham al Rasul,29,LSR,Rebel Groups,1,1,1,1,,,,,,,1
Ahrar Jabal al Sheikh,29,AJS,Rebel Groups,1,1,1,1,,,,,,,1
Mutiny of Islamic State (Syria),,mIS,Rebel Groups,1,,,,,,,,,,0
Syrian Elite Forces,,SEF,Rebel Groups,0,,,,1,,,,,,0
Sham Liberation Army,,TAS,Rebel Groups,0,,,,,,,,,,0
Menbij Military Council,,MMC,Rebel Groups,0,,,,1,,,,,,0
